coverage,success,makespan,return,defect_rate,rework,waiting,bits,file
100.0,100.0,39.2,861.1,0.154,15.43,31.8,1159.9,E3_CCT_grid10_dyads8_ep16000_s0.log
100.0,100.0,39.1,858.2,0.162,16.25,32.1,1343.1,E3_CCT_grid10_dyads8_ep16000_s1.log
100.0,100.0,40.4,857.8,0.161,16.09,39.7,1155.7,E3_CCT_grid10_dyads8_ep16000_s2.log
100.0,100.0,37.9,860.6,0.155,15.53,31.6,1187.0,E3_CCT_grid10_dyads8_ep16000_s3.log
100.0,100.0,40.5,859.3,0.156,15.65,40.1,1011.4,E3_CCT_grid10_dyads8_ep16000_s4.log
100.0,100.0,36.7,584.8,0.155,9.9,13.2,672.0,E3_CCT_grid8_dyads5_ep16000_s0.log
100.0,100.0,36.1,585.7,0.153,9.79,14.2,783.7,E3_CCT_grid8_dyads5_ep16000_s1.log
100.0,100.0,36.8,585.9,0.153,9.77,16.1,750.7,E3_CCT_grid8_dyads5_ep16000_s2.log
100.0,100.0,35.5,585.6,0.153,9.78,15.5,639.8,E3_CCT_grid8_dyads5_ep16000_s3.log
100.0,100.0,35.7,583.2,0.164,10.48,12.2,665.0,E3_CCT_grid8_dyads5_ep16000_s4.log
